,gene,TA_I,gene,I_II,gene,I_III,gene,II_III,gene,III_IV
0,MMP3,-0.942199774,PIK3C2G,-1.254234796,CALCA,-0.674442042,PLA2G4F,-0.024870456,NR0B2,-0.140111781
1,NR0B2,-0.936865982,INSM1,-0.12353385,OTX1,-0.353470946,GABRA2,-0.01433319,COL2A1,-0.115125919
2,TNNT2,-0.861075728,PAK7,-0.092237053,INSM1,-0.351934329,CNTN5,-0.002937313,IVL,-0.056557605
3,ADH4,-0.691458796,OTX1,-0.078499105,C10orf90,-0.280100831,PTPRQ,-0.001574408,OXT,-0.051422099
4,ITPKA,-0.650511373,ZFP42,-0.066125152,GRIA2,-0.258745855,KIF14,-0.000886423,HRG,-0.051064652
5,NMUR2,-0.640586493,C10orf90,-0.050208167,GCGR,-0.208277916,NMUR2,-0.000800249,ACVRL1,-0.050274129
6,HPSE2,-0.619400188,NR0B2,-0.03230034,MMP3,-0.203444127,CENPE,-0.000764091,ZFP42,-0.048357239
7,KLK7,-0.619317385,CNTN5,-0.029544533,CNTN5,-0.190181926,EDA,-0.000759466,PTPRQ,-0.044020053
8,PAK7,-0.420657983,AHSG,-0.026072821,ARHGDIG,-0.187544251,NEK2,-0.000702131,DPP10,-0.044019471
9,INSM1,-0.392036121,CNGA3,-0.021915913,FXYD4,-0.187027053,ERCC6L,-0.000525138,INHBE,-0.043877711
10,ZFP42,-0.388753203,YSK4,-0.019187367,PIK3C2G,-0.172947394,BUB1,-0.000460784,ADH4,-0.038126491
11,FXYD4,-0.099340479,INHBE,-0.014834268,CNGA3,-0.154433805,CDH10,-0.000419466,SNORA63,-0.037125844
12,CALCA,-0.086527663,GRIA2,-0.012143503,PAK7,-0.10561592,OXT,-0.000401979,IRF6,-0.035565027
13,GCGR,-0.074906313,COL2A1,-0.008522491,GCKR,-0.104938471,TOP2A,-0.000379001,GABRA3,-0.030322778
14,PCDH15,-0.054007337,MAPT,-0.003757212,TFF1,-0.095600815,CLEC4M,-0.000377464,OTX1,-0.029038695
15,GATA4,-0.048531175,IRF6,-0.003671937,ITPKA,-0.081541093,YSK4,-0.000364351,TFF1,-0.020182262
16,KCNJ6,-0.031247122,EDA,-0.001205155,PRTN3,-0.080870871,CCNA2,-0.000339986,C10orf90,-0.018963616
17,OTX1,-0.028269468,AKAP6,-0.00093892,CPB2,-0.077501256,ACVR2A,-0.000316425,UCN2,-0.017213167
18,GRIA2,-0.025272181,NEK2,-0.000738501,HRG,-0.068018647,AKAP6,-0.000310745,AQP10,-0.017199387
19,IGF2BP3,-0.021282906,ACVRL1,-0.000723409,INHBE,-0.066131014,CEP55,-0.000305916,GABRA2,-0.016566342
20,DPP10,-0.021188353,NMUR2,-0.000704987,IVL,-0.063011608,PSMA4,-0.000267036,GUCA1A,-0.015173815
21,HS3ST5,-0.019465613,KIF14,-0.000683105,IRF6,-0.059287874,ARPC3,-0.00026206,PPP1R1B,-0.010947525
22,HRG,-0.017932329,ACVR2A,-0.000611377,MMP8,-0.058469992,S100A11,-0.000249417,TNNT2,-0.010882422
23,IVL,-0.01653026,CENPE,-0.000546973,MAPT,-0.055447527,YARS,-0.000224121,ONECUT1,-0.009173836
24,C10orf90,-0.01582812,ERCC6L,-0.000470148,YSK4,-0.055392674,CARS,-0.000195128,PAK7,-0.007159757
25,ACVRL1,-0.015577214,BUB1,-0.000384915,KCNJ6,-0.04548758,RHEB,-0.000191269,MUC15,-0.006662357
26,OXT,-0.015418733,PSMA4,-0.00037909,AHSG,-0.034987117,HM13,-0.000188885,KRT4,-0.005322221
27,ONECUT1,-0.015314206,TOP2A,-0.000375254,ATP12A,-0.032625787,CCNB1,-0.000172995,ARHGDIG,-0.004633018
28,INHBE,-0.011439285,YARS,-0.000364623,HSPB3,-0.030461085,CENPF,-0.000166777,IGF2BP3,-0.004218508
29,IRF6,-0.010966221,NTF4,-0.000363943,CEACAM8,-0.029092958,RRM2,-0.000153274,PLA2G4F,-0.003807641
30,CDH10,-0.000567761,SKA1,-0.000343964,DRP2,-0.024667451,PSMB2,-0.000138701,DUOXA1,-0.00026772
31,DUOXA1,-0.000511057,ARPC3,-0.000316673,IGF2BP3,-0.022854865,BID,-0.00013768,YSK4,-0.000259316
32,KIF18A,-0.000205368,CARS,-0.000311728,PCDH15,-0.019608571,SKA1,-0.000126503,HM13,-0.000240059
