,gene,TA_I,gene,I_II,gene,I_III,gene,II_III,gene,III_IV
0,MMP3,-0.990884538,PIK3C2G,-1.047684032,CALCA,-0.688481035,COL2A1,-0.1031719,HRG,-0.037478521
1,NR0B2,-0.862233401,COL2A1,-0.043646371,OTX1,-0.284274348,PAK7,-0.036984441,ITPKA,-0.036315634
2,TNNT2,-0.699753207,PAK7,-0.016949119,INSM1,-0.17572347,OTX1,-0.027282515,ZFP42,-0.033430525
3,INSM1,-0.575832242,CDH10,-0.001084827,GRIA2,-0.164753668,GABRA2,-0.012225209,KRT4,-0.032361324
4,ITPKA,-0.564191682,KIF14,-0.000878264,C10orf90,-0.14388281,PTPRQ,-0.011355794,UCN2,-0.030492854
5,NMUR2,-0.532997881,NMUR2,-0.000776322,TFF1,-0.120830786,NTF4,-0.00115912,IRF6,-0.030443244
6,ADH4,-0.518533942,CENPE,-0.000764914,CNTN5,-0.120357834,UBE2C,-0.000376089,C10orf90,-0.030119743
7,PAK7,-0.496203523,NEK2,-0.000658623,IVL,-0.117578056,KIF18A,-0.000329574,NR0B2,-0.028382571
8,KLK7,-0.475314974,EDA,-0.000636202,GCGR,-0.101950294,CCNB2,-0.000305424,MUC15,-0.027821883
9,HPSE2,-0.475214557,ERCC6L,-0.000508016,FXYD4,-0.101263244,SKA1,-0.000290125,GUCA1A,-0.026852041
10,ZFP42,-0.455809361,BUB1,-0.000450942,CPB2,-0.09101136,CEP55,-0.000244937,ACVRL1,-0.024742664
11,CALCA,-0.239744532,CLEC4M,-0.000450506,CNGA3,-0.087448035,ACVR2A,-0.000235384,MMP3,-0.024116685
12,FXYD4,-0.174476397,TOP2A,-0.000359904,ADH4,-0.082304243,AKAP6,-0.000230392,OXT,-0.023200635
13,OTX1,-0.136617793,CCNA2,-0.000335622,PAK7,-0.079652892,YSK4,-0.000210665,DRP2,-0.022749072
14,GCGR,-0.13117582,CEP55,-0.000290431,ARHGDIG,-0.077289347,BUB1,-0.000207649,INHBE,-0.01895559
15,C10orf90,-0.122297229,ACVR2A,-0.000244524,HRG,-0.054511753,GALNTL6,-0.000189276,CEACAM8,-0.016192565
16,GRIA2,-0.108690268,S100A11,-0.000241194,INHBE,-0.046109148,ERCC6L,-0.000188841,DPP10,-0.015609987
17,ARHGDIG,-0.056487229,ARPC3,-0.000238116,PPP1R1B,-0.043644012,CDH10,-0.00018024,PTPRQ,-0.01347287
18,PCDH15,-0.05482523,PSMA4,-0.000232051,GCKR,-0.038824478,SPSB2,-0.000168506,IGF2BP3,-0.013323392
19,KCNJ6,-0.044854713,YARS,-0.000186035,YSK4,-0.035931345,NEK2,-0.00014673,B3GNT6,-0.01211509
20,CNGA3,-0.037074388,CCNB1,-0.000180761,ATP12A,-0.032185883,GDPD5,-0.000132345,MMP8,-0.012072767
21,IRF6,-0.033451992,AKAP6,-0.000176622,PRTN3,-0.028531379,CENPE,-0.000130144,PRTN3,-0.011910479
22,HRG,-0.033432759,HM13,-0.000173012,IRF6,-0.026520506,KIF14,-0.000100519,DRD2,-0.011875909
23,INHBE,-0.032970967,RHEB,-0.000171455,MAPT,-0.025971329,PYCARD,-7.21E-05,LHB,-0.011042632
