,gene,TA_I,gene,I_II,gene,I_III,gene,II_III,gene,III_IV
0,ADH4,-2.671113273,CALCA,-7.767022106,CALCA,-2.797401136,IVL,-3.487195348,NR0B2,-2.909532996
1,SERPINB5,-2.584823118,FXYD4,-5.900235244,ADH4,-2.162155483,ADH4,-3.343397001,TTR,-1.868732516
2,INSM1,-2.540302865,GATA4,-5.601161329,IVL,-1.248466483,PCDH15,-2.133433024,COL2A1,-1.515811741
3,MMP3,-2.435098491,MMP8,-2.004861649,INSM1,-1.015313992,ZFP42,-1.955720408,AHSG,-1.184311371
4,AHSG,-2.360212227,ONECUT1,-1.804617782,MMP3,-0.950478657,AHSG,-1.902894129,AQP10,-0.872289823
5,GABRA3,-2.215536593,GCGR,-1.522337061,GRIA2,-0.886476732,CPB2,-1.579124178,ADH4,-0.85218818
6,GRIA2,-2.184333843,PLA2G4F,-1.233514712,TTR,-0.84948353,GDNF,-1.130370448,MYBPC1,-0.776436319
7,TFF1,-2.13472196,INSM1,-1.195904188,CPB2,-0.722465082,TTR,-1.129448468,MMP3,-0.68212708
8,HRG,-2.090800049,ATP12A,-1.146555581,ATP12A,-0.679180999,TFF1,-0.88960676,KRT4,-0.621543034
9,C4BPB,-2.053696331,DRD2,-0.707844287,GATA4,-0.537876956,GRIA2,-0.887336945,PRTN3,-0.496808078
10,IGF2BP3,-1.974807013,PAK7,-0.574753489,PAK7,-0.482930803,MMP3,-0.868108316,DRP2,-0.420473215
11,PTPRQ,-1.909247257,DPP10,-0.548724066,ZFP42,-0.461451539,HRG,-0.865480547,GDNF,-0.35047018
12,AQP10,-1.871367426,PIK3C2G,-0.534509749,TFF1,-0.365248887,MC4R,-0.810627066,MC4R,-0.318792558
13,CPB2,-1.868320701,CDH10,-0.524500403,KCNJ6,-0.346557616,HPSE2,-0.764900678,CPB2,-0.302809092
14,OTX1,-1.838598867,NR5A1,-0.426635969,KRT4,-0.334356822,C4BPB,-0.703957951,HRG,-0.202169219
15,DPP10,-1.836522988,GABRA2,-0.323891269,SERPINB5,-0.326329149,KRT4,-0.532558765,PPP1R1B,-0.159090447
16,PAK7,-1.45722088,ARHGDIG,-0.298581029,C4BPB,-0.317342929,CDK5R2,-0.507163878,C4BPB,-0.135119934
17,GATA4,-1.185491047,CNTN5,-0.280882031,CDK5R2,-0.313187391,ITPKA,-0.5052074,MFAP4,-0.075724409
18,IVL,-0.723247813,TNNT2,-0.277615518,CLEC4M,-0.310621567,B3GNT6,-0.460831828,NEK2,-0.069364651
19,PPP1R1B,-0.569680232,PTPRQ,-0.204641202,GCGR,-0.308992097,CLEC4M,-0.432835892,KIF14,-0.067277129
20,CNGA3,-0.552308441,KLK7,-0.193738513,LHB,-0.295916051,DRP2,-0.413466711,TFF1,-0.06223281
21,HPSE2,-0.388328317,DUOXA1,-0.1294573,DRP2,-0.250996666,UCN2,-0.40263226,DUOXA1,-0.054880185
22,DRP2,-0.38170385,PRTN3,-0.111740149,B3GNT6,-0.238085308,SERPINB5,-0.394333997,CDH10,-0.053723877
23,KLK7,-0.364120775,CEACAM8,-0.079318281,IL17C,-0.21924078,GUCA1A,-0.359814206,YSK4,-0.051919313
24,CENPA,-0.288626665,CENPA,-0.076402661,PTPRQ,-0.214744488,DNAI2,-0.327831587,NMUR2,-0.049602966
25,C10orf90,-0.288403423,MFAP4,-0.052542503,MC4R,-0.179574921,PPP1R1B,-0.326518083,CEACAM8,-0.048485364
26,DUOXA1,-0.254525681,C19orf40,-0.050386589,NPFFR2,-0.171517865,NUF2,-0.300250941,SKA1,-0.044363652
27,BUB1,-0.253913854,INHBE,-0.048747904,NCAPG,-0.171484934,MAPT,-0.284211215,CEP55,-0.041560761
28,NPFFR2,-0.230290288,MUC15,-0.048531474,NUF2,-0.163650548,PRKAA2,-0.274207658,ERCC6L,-0.040164364
29,MAPT,-0.223836744,HSPB3,-0.046971578,CENPA,-0.16142827,C10orf90,-0.26761395,TOP2A,-0.038478455
30,KIF14,-0.221465863,KIF14,-0.039266489,CEACAM8,-0.150162981,IRF6,-0.26034633,BUB1,-0.038402153
31,SKA1,-0.210815618,BUB1,-0.034116952,POU3F2,-0.14792273,NCAPG,-0.251966495,CCNA2,-0.036304382
32,NUF2,-0.202842074,UBE2C,-0.032854496,OIP5,-0.145518652,SLC9A3R2,-0.241906103,CENPE,-0.034566279
33,NCAPG,-0.192075801,CCNB2,-0.032551769,PRKAA2,-0.138876446,CENPA,-0.236259345,UCN2,-0.032576527
34,NR5A1,-0.188814703,UBE2S,-0.031741452,EXD1,-0.12926875,YSK4,-0.218860186,HPSE2,-0.026698558
35,NTF4,-0.183897723,OIP5,-0.03051027,DNAI2,-0.124021549,OTX1,-0.217074006,RRM2,-0.025802739
36,UBE2C,-0.177875516,KIF18A,-0.024280582,SLC9A3R2,-0.108706554,OIP5,-0.214862,GDPD5,-0.023508562
37,CEP55,-0.176533782,PTTG1,-0.018485968,MAPT,-0.101405737,EXD1,-0.186250428,MX2,-0.021300035
