,TA_I,I_II,I_III,II_III,III_IV
0,CNTN5,GATA4,CNTN5,GATA4,GATA4
1,AQP10,HS3ST5,AHSG,HS3ST5,HS3ST5
2,MC4R,MFAP4,AQP10,AQP10,MFAP4
3,PIK3C2G,MMP8,MMP8,MMP8,MMP8
4,PLA2G4F,COL2A1,COL2A1,HPSE2,PIK3C2G
5,GCKR,C4BPB,PLA2G4F,PIK3C2G,C4BPB
6,IRF6,CEACAM8,GCKR,COL2A1,ONECUT1
7,FXYD4,ADH4,IL17C,FXYD4,FXYD4
8,GCGR,ZFP42,ONECUT1,IVL,CEACAM8
9,PPP1R1B,HSPB3,LHB,NR0B2,IVL
10,CPB2,IVL,NR0B2,GCGR,CDK5R2
11,GABRA2,DRD2,CDH10,MMP3,MMP3
12,KRT4,NR0B2,GABRA2,INSM1,C10orf90
13,INHBE,CDK5R2,B3GNT6,CPB2,INSM1
14,CALCA,MMP3,EXD1,CALCA,CPB2
15,ATP12A,C10orf90,SNORA63,ATP12A,OTX1
16,,CPB2,ARHGDIG,,KCNJ6
17,,HRG,PCDH15,,GRIA2
18,,PCDH15,,,CALCA
